Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-02-27,Scream,2022,https://boxd.it/2CdKUt,3.5,,,2022-01-13
2022-11-30,Uncharted,2022,https://boxd.it/3tZ0a3,,,,2022-02-23
2022-04-19,Death on the Nile,2022,https://boxd.it/2LxkVB,3,,,2022-03-01
2022-04-19,X,2022,https://boxd.it/2Lxkcr,3,,,2022-03-23
2022-04-19,Sonic the Hedgehog 2,2022,https://boxd.it/2Lxkuv,2,,,2022-04-16
2022-11-30,Everything Everywhere All at Once,2022,https://boxd.it/3tZ0z3,3,,,2022-04-16
2022-05-24,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2RNaDt,3,,,2022-05-22
2022-11-30,The Black Phone,2021,https://boxd.it/3tZ0ST,,,,2022-06-28
2022-07-12,Minions: The Rise of Gru,2022,https://boxd.it/30MvoD,,,,2022-07-02
2023-01-12,Dawn of the Dead,1978,https://boxd.it/3GHZEf,5,,,2022-10-28
2022-11-30,The Banshees of Inisherin,2022,https://boxd.it/3tYY2V,3,,,2022-11-16
2022-11-30,Glass Onion,2022,https://boxd.it/3tYWgh,3.5,,,2022-11-25
2022-12-02,See How They Run,2022,https://boxd.it/3unuzF,,,,2022-11-26
2022-11-30,Strange World,2022,https://boxd.it/3tYWCH,2.5,,,2022-11-27
2022-11-30,Halloween Ends,2022,https://boxd.it/3tUmyB,1,,,2022-11-29
2022-12-02,Violent Night,2022,https://boxd.it/3untAR,3,,,2022-12-01
2022-12-12,Elf,2003,https://boxd.it/3wz3BV,4,,,2022-12-11
2022-12-14,The Menu,2022,https://boxd.it/3wYxXR,3,,,2022-12-13
2022-12-19,Avatar: The Way of Water,2022,https://boxd.it/3y8Cv3,4,,,2022-12-18
2023-01-02,Puss in Boots,2011,https://boxd.it/3CPJjF,3,,,2023-01-01
2023-01-12,M3GAN,2022,https://boxd.it/3GHZ4h,3,,,2023-01-10
2023-01-27,Women Talking,2022,https://boxd.it/3LHTtF,4,,,2023-01-26
2023-01-30,Singin' in the Rain,1952,https://boxd.it/3MD5VF,5,,,2023-01-29
2023-02-01,The Fabelmans,2022,https://boxd.it/3Nm0rF,2,,,2023-01-31
2023-02-15,Knock at the Cabin,2023,https://boxd.it/3R8hlx,2.5,,,2023-02-07
2023-02-15,Titanic,1997,https://boxd.it/3R8hwl,5,,,2023-02-13
2023-02-21,Ant-Man and the Wasp: Quantumania,2023,https://boxd.it/3SS2Qr,3.5,,,2023-02-19
2023-03-07,All Quiet on the Western Front,2022,https://boxd.it/3WWi1X,4,,,2023-03-06
2023-03-11,Creed III,2023,https://boxd.it/3Y0f9B,3.5,,,2023-03-09
2023-03-11,Scream VI,2023,https://boxd.it/3Y0fAx,3.5,,,2023-03-10
2023-04-04,Dungeons & Dragons: Honor Among Thieves,2023,https://boxd.it/44n2l5,3.5,,,2023-04-02
