Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-03-04,2022 Best Picture Nominees,,https://boxd.it/lyBSM,Ranked in order of personal preference

Position,Name,Year,URL,Description
1,Top Gun: Maverick,2022,https://boxd.it/cjr4,
2,Avatar: The Way of Water,2022,https://boxd.it/2E2E,
3,All Quiet on the Western Front,2022,https://boxd.it/H08,
4,Women Talking,2022,https://boxd.it/tdq4,
5,Triangle of Sadness,2022,https://boxd.it/hXlq,
6,TÁR,2022,https://boxd.it/uNIA,
7,The Banshees of Inisherin,2022,https://boxd.it/p7XS,
8,Everything Everywhere All at Once,2022,https://boxd.it/jUk4,
9,Elvis,2022,https://boxd.it/mK4w,
10,The Fabelmans,2022,https://boxd.it/ugoM,
