Letterboxd list export v7
Date,Name,Tags,URL,Description
2024-02-23,2023 Best Picture Nominess,,https://boxd.it/tiduw,Personal rank order of preference.

Position,Name,Year,URL,Description
1,Oppenheimer,2023,https://boxd.it/wUow,
2,The Zone of Interest,2023,https://boxd.it/gJsA,
3,The Holdovers,2023,https://boxd.it/vHza,
4,American Fiction,2023,https://boxd.it/DYHm,
5,Anatomy of a Fall,2023,https://boxd.it/yuDE,
6,Killers of the Flower Moon,2023,https://boxd.it/gHp0,
7,Barbie,2023,https://boxd.it/bCLK,
8,Maestro,2023,https://boxd.it/j0DE,
9,Past Lives,2023,https://boxd.it/oNB8,
10,Poor Things,2023,https://boxd.it/tNWU,
