Letterboxd list export v7
Date,Name,Tags,URL,Description
2026-01-15,2025 Best Picture Oscar Contenders,,https://boxd.it/RKrKK,

Position,Name,Year,URL,Description
1,Sentimental Value,2025,https://boxd.it/GwcG,
2,Sinners,2025,https://boxd.it/KQMM,
3,Hamnet,2025,https://boxd.it/woVy,
4,Marty Supreme,2025,https://boxd.it/Off0,
5,One Battle After Another,2025,https://boxd.it/DUHM,
6,F1,2025,https://boxd.it/yjVM,
7,Frankenstein,2025,https://boxd.it/Ecsg,
8,Bugonia,2025,https://boxd.it/qeWY,
