Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-07-30,All Time Favorites,,https://boxd.it/hD0as,Alphabetical list of my all time favorite films across all genres and eras.

Position,Name,Year,URL,Description
1,All That Jazz,1979,https://boxd.it/1JB8,
2,Boogie Nights,1997,https://boxd.it/23um,
3,Boyz n the Hood,1991,https://boxd.it/29Ug,
4,Dawn of the Dead,1978,https://boxd.it/29gU,
5,Dazed and Confused,1993,https://boxd.it/1Ylk,
6,Do the Right Thing,1989,https://boxd.it/29gA,
7,The Fly,1986,https://boxd.it/1YIe,
8,Halloween,1978,https://boxd.it/2wRu,
9,A Heart in Winter,1992,https://boxd.it/Ja0,
10,Heat,1995,https://boxd.it/2bg8,
11,Lost in Translation,2003,https://boxd.it/2b0E,
12,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
13,Pretty Woman,1990,https://boxd.it/2b6M,
14,Sid and Nancy,1986,https://boxd.it/1N6e,
15,The Silence of the Lambs,1991,https://boxd.it/2aHW,
16,Terms of Endearment,1983,https://boxd.it/1ULo,
