Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-30,Cronenberg Rankings,,https://boxd.it/jkJzW,Personal preference rank order of films by my favorite active director.

Position,Name,Year,URL,Description
1,The Fly,1986,https://boxd.it/1YIe,
2,Dead Ringers,1988,https://boxd.it/1Yqk,
3,The Dead Zone,1983,https://boxd.it/1U6g,
4,Eastern Promises,2007,https://boxd.it/275q,
5,The Brood,1979,https://boxd.it/1ovS,
6,Crash,1996,https://boxd.it/29n2,
7,Videodrome,1983,https://boxd.it/29uC,
8,Scanners,1981,https://boxd.it/1YqE,
9,A History of Violence,2005,https://boxd.it/2bfa,
10,Naked Lunch,1991,https://boxd.it/26ow,
11,eXistenZ,1999,https://boxd.it/27Ni,
12,Shivers,1975,https://boxd.it/1rPG,
13,Rabid,1977,https://boxd.it/1nuk,
14,Crimes of the Future,2022,https://boxd.it/uTuY,
15,Spider,2002,https://boxd.it/1YeI,
16,A Dangerous Method,2011,https://boxd.it/IYo,
17,M. Butterfly,1993,https://boxd.it/28O2,
18,Fast Company,1979,https://boxd.it/15T2,
19,Maps to the Stars,2014,https://boxd.it/4WCu,
20,Cosmopolis,2012,https://boxd.it/H4O,
