Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-30,David Lynch Rankings,,https://boxd.it/jkOxw,

Position,Name,Year,URL,Description
1,Twin Peaks: Fire Walk with Me,1992,https://boxd.it/27Qw,
2,Mulholland Drive,2001,https://boxd.it/297o,
3,Blue Velvet,1986,https://boxd.it/29BI,
4,The Straight Story,1999,https://boxd.it/2ass,
5,The Elephant Man,1980,https://boxd.it/27LQ,
6,Lost Highway,1997,https://boxd.it/29Wc,
7,Eraserhead,1977,https://boxd.it/299u,
8,Dune,1984,https://boxd.it/29tY,
9,Wild at Heart,1990,https://boxd.it/2aii,
10,Inland Empire,2006,https://boxd.it/28d6,
