Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-07-06,Friday the 13th Franchise,,https://boxd.it/nHcGi,Ranking a mediocre lot…

Position,Name,Year,URL,Description
1,Jason Lives - Friday the 13th Part VI,1986,https://boxd.it/1WM4,
2,Friday the 13th Part 2,1981,https://boxd.it/1XXC,
3,Friday the 13th,1980,https://boxd.it/24fs,
4,Friday the 13th: The Final Chapter,1984,https://boxd.it/1XWO,
5,Freddy vs. Jason,2003,https://boxd.it/21FC,
6,Friday the 13th: A New Beginning,1985,https://boxd.it/1XWE,
7,Jason X,2001,https://boxd.it/1TM6,
8,Friday the 13th Part III,1982,https://boxd.it/1XX8,
9,Friday the 13th Part VII - The New Blood,1988,https://boxd.it/1WDG,
10,Friday the 13th,2009,https://boxd.it/1QAw,
11,Jason Goes to Hell: The Final Friday,1993,https://boxd.it/1WDc,
12,Friday the 13th Part VIII: Jason Takes Manhattan,1989,https://boxd.it/1WDm,
