Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-30,Halloween Franchise Rankings,,https://boxd.it/jkOPA,

Position,Name,Year,URL,Description
1,Halloween,1978,https://boxd.it/2wRu,
2,Halloween II,1981,https://boxd.it/1UeE,
3,Halloween III: Season of the Witch,1982,https://boxd.it/1VFc,
4,Halloween 4: The Return of Michael Myers,1988,https://boxd.it/1U2S,
5,Halloween,2007,https://boxd.it/27u6,
6,Halloween II,2009,https://boxd.it/1yda,
7,Halloween H20: 20 Years Later,1998,https://boxd.it/1TgE,
8,Halloween,2018,https://boxd.it/f0uE,
9,Halloween 5: The Revenge of Michael Myers,1989,https://boxd.it/1U2e,
10,Halloween Kills,2021,https://boxd.it/mxzG,
11,Halloween: The Curse of Michael Myers,1995,https://boxd.it/1UVe,
12,Halloween Ends,2022,https://boxd.it/mO8M,
13,Halloween: Resurrection,2002,https://boxd.it/1TQs,
