Letterboxd list export v7
Date,Name,Tags,URL,Description
2023-11-02,Shudder's 101 Scariest Horror Movie Moments of All Time,#101scariest,https://boxd.it/q3jQw,

Position,Name,Year,URL,Description
1,It Follows,2014,https://boxd.it/87wo,
2,The Orphanage,2007,https://boxd.it/2bfE,
3,Salem's Lot,1979,https://boxd.it/1U58,
4,Dracula,1958,https://boxd.it/1STA,
5,Black Sabbath,1963,https://boxd.it/1qoa,
6,Pulse,2001,https://boxd.it/1s3y,
7,The Strangers,2008,https://boxd.it/1VGY,
8,The Wolf Man,1941,https://boxd.it/1PG4,
9,Cat People,1942,https://boxd.it/1vG4,
10,The Birds,1963,https://boxd.it/2a6m,
11,Mulholland Drive,2001,https://boxd.it/297o,
12,Child's Play,1988,https://boxd.it/1VTo,
13,An American Werewolf in London,1981,https://boxd.it/29yk,
14,Us,2019,https://boxd.it/gnV6,
15,The Witch,2015,https://boxd.it/9X0m,
16,Zombie Flesh Eaters,1979,https://boxd.it/217q,
17,The Changeling,1980,https://boxd.it/1PVy,
18,The Phantom of the Opera,1925,https://boxd.it/29bU,
19,The Brood,1979,https://boxd.it/1ovS,
20,A Tale of Two Sisters,2003,https://boxd.it/248m,
21,Demons,1985,https://boxd.it/1OTQ,
22,Doctor Sleep,2019,https://boxd.it/i5vI,
23,Candyman,1992,https://boxd.it/1Ys6,
24,Invasion of the Body Snatchers,1978,https://boxd.it/1SWk,
25,The Evil Dead,1981,https://boxd.it/29Go,
26,Dawn of the Dead,2004,https://boxd.it/29gK,
27,Annihilation,2018,https://boxd.it/9yzm,
28,Cujo,1983,https://boxd.it/1W8o,
29,The Fly,1986,https://boxd.it/1YIe,
30,The Wicker Man,1973,https://boxd.it/1KnG,
31,Nosferatu,1922,https://boxd.it/29TM,
32,The Night House,2020,https://boxd.it/jZze,
33,Aliens,1986,https://boxd.it/29PA,
34,The Babadook,2014,https://boxd.it/77xu,
35,The Last House on the Left,1972,https://boxd.it/1M4m,
36,Terrified,2017,https://boxd.it/hCyy,
37,Friday the 13th,1980,https://boxd.it/24fs,
38,Dawn of the Dead,1978,https://boxd.it/29gU,
39,Peeping Tom,1960,https://boxd.it/1Utk,
40,A Quiet Place,2018,https://boxd.it/fVJQ,
41,The Autopsy of Jane Doe,2016,https://boxd.it/dUu2,
42,Phantasm,1979,https://boxd.it/1YaG,
43,Ju-on: The Grudge,2002,https://boxd.it/1SY6,
44,When a Stranger Calls,1979,https://boxd.it/OhK,
45,Black Christmas,1974,https://boxd.it/1Js6,
46,Jacob's Ladder,1990,https://boxd.it/270g,
47,Threads,1984,https://boxd.it/1I0g,
48,The Howling,1981,https://boxd.it/1Uce,
49,Gerald's Game,2017,https://boxd.it/buKa,
50,Misery,1990,https://boxd.it/28gY,
51,Frankenstein,1931,https://boxd.it/25Te,
52,A Nightmare on Elm Street,1984,https://boxd.it/2aw0,
53,A Bay of Blood,1971,https://boxd.it/232i,
54,The Conjuring,2013,https://boxd.it/4sr2,
55,Get Out,2017,https://boxd.it/eOCm,
56,Twin Peaks: The Return,2017,https://boxd.it/hN9O,
57,Pan's Labyrinth,2006,https://boxd.it/28No,
58,Rosemary's Baby,1968,https://boxd.it/29zM,
59,Inside,2007,https://boxd.it/1QqG,
60,Se7en,1995,https://boxd.it/29zs,
61,Zodiac,2007,https://boxd.it/27MO,
62,28 Days Later,2002,https://boxd.it/2aXU,
63,30 Days of Night,2007,https://boxd.it/24dw,
64,The Silence of the Lambs,1991,https://boxd.it/2aHW,
65,Suspiria,1977,https://boxd.it/1SNW,
66,The Blair Witch Project,1999,https://boxd.it/26ua,
67,Paranormal Activity,2007,https://boxd.it/1yIM,
68,The Sixth Sense,1999,https://boxd.it/29Js,
69,Let the Right One In,2008,https://boxd.it/1Qr0,
70,The Invisible Man,2020,https://boxd.it/kWlA,
71,Wait Until Dark,1967,https://boxd.it/1Unc,
72,Don't Breathe,2016,https://boxd.it/9yzw,
73,Hostel,2005,https://boxd.it/28ig,
74,Lake Mungo,2008,https://boxd.it/1rWM,
75,The Haunting of Hill House,2018,https://boxd.it/kfJ0,
76,It,2017,https://boxd.it/bC8e,
77,I Saw the Devil,2010,https://boxd.it/FaK,
78,Hellraiser,1987,https://boxd.it/1Zpi,
79,The Descent,2005,https://boxd.it/1YNy,
80,Saw,2004,https://boxd.it/2aWW,
81,Scanners,1981,https://boxd.it/1YqE,
82,[REC],2007,https://boxd.it/20ma,
83,Carrie,1976,https://boxd.it/20ZQ,
84,The Omen,1976,https://boxd.it/29By,
85,Night of the Living Dead,1968,https://boxd.it/1WwA,
86,The Exorcist III,1990,https://boxd.it/1Tum,
87,Final Destination 2,2003,https://boxd.it/1YSS,
88,Jaws,1975,https://boxd.it/2a5e,
89,Scream,1996,https://boxd.it/24EC,
90,Halloween,1978,https://boxd.it/2wRu,
91,Alien,1979,https://boxd.it/2awY,
92,Ring,1998,https://boxd.it/26tw,
93,Train to Busan,2016,https://boxd.it/dSQU,
94,Sinister,2012,https://boxd.it/2TnW,
95,The Exorcist,1973,https://boxd.it/1Yoo,
96,The Shining,1980,https://boxd.it/29Nu,
97,Psycho,1960,https://boxd.it/2ab2,
98,Audition,1999,https://boxd.it/1UHm,
99,Hereditary,2018,https://boxd.it/hNVe,
100,The Thing,1982,https://boxd.it/294O,
101,The Texas Chain Saw Massacre,1974,https://boxd.it/1lcS,
