Letterboxd list export v7
Date,Name,Tags,URL,Description
2022-11-30,Star Wars Films Ranking,,https://boxd.it/jkO9u,

Position,Name,Year,URL,Description
1,The Empire Strikes Back,1980,https://boxd.it/27Vw,
2,Star Wars,1977,https://boxd.it/72s,
3,Return of the Jedi,1983,https://boxd.it/27Vm,
4,Rogue One: A Star Wars Story,2016,https://boxd.it/aPvy,
5,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,
6,Solo,2017,https://boxd.it/grbc,
7,Star Wars: The Force Awakens,2015,https://boxd.it/4vru,
8,Star Wars: The Rise of Skywalker,2019,https://boxd.it/5xlK,
9,Star Wars: Episode III – Revenge of the Sith,2005,https://boxd.it/27US,
10,Star Wars: Episode I – The Phantom Menace,1999,https://boxd.it/27Vc,
11,Star Wars: Episode II – Attack of the Clones,2002,https://boxd.it/27V2,
