Letterboxd list export v7
Date,Name,Tags,URL,Description
2025-05-12,Working 21st Century,,https://boxd.it/GUVoA,

Position,Name,Year,URL,Description
1,The Dark Knight,2008,https://boxd.it/2b0k,
2,The Lord of the Rings: The Fellowship of the Ring,2001,https://boxd.it/2b5O,
3,Lost in Translation,2003,https://boxd.it/2b0E,
4,Mulholland Drive,2001,https://boxd.it/297o,
5,Ocean's Eleven,2001,https://boxd.it/2aZm,
6,Before Sunset,2004,https://boxd.it/2bcg,
7,School of Rock,2003,https://boxd.it/28xK,
8,28 Days Later,2002,https://boxd.it/2aXU,
9,Atonement,2007,https://boxd.it/24ui,
10,Training Day,2001,https://boxd.it/27A4,
11,The Descent,2005,https://boxd.it/1YNy,
12,Erin Brockovich,2000,https://boxd.it/2al2,
13,"Crouching Tiger, Hidden Dragon",2000,https://boxd.it/2b1M,
14,Secretary,2002,https://boxd.it/1URc,
15,The Strangers,2008,https://boxd.it/1VGY,
16,Eastern Promises,2007,https://boxd.it/275q,
17,Man on Fire,2004,https://boxd.it/1Yvk,
18,Match Point,2005,https://boxd.it/2b6s,
19,Michael Clayton,2007,https://boxd.it/2466,
20,Once,2007,https://boxd.it/22GG,
21,About a Boy,2002,https://boxd.it/2aMC,
22,The Devil's Rejects,2005,https://boxd.it/28hC,
23,Far from Heaven,2002,https://boxd.it/1VzS,
24,Changing Lanes,2002,https://boxd.it/28Fa,
25,Bloody Sunday,2002,https://boxd.it/24NE,
26,In America,2002,https://boxd.it/1W5a,
27,The Original Kings of Comedy,2000,https://boxd.it/1yZy,
28,Sentimental Destinies,2000,https://boxd.it/1C0,
29,Parasite,2019,https://boxd.it/hTha,
30,Interstellar,2014,https://boxd.it/4VZ8,
31,Whiplash,2014,https://boxd.it/7bQA,
32,Inception,2010,https://boxd.it/1skk,
33,Little Women,2019,https://boxd.it/aSVk,
34,Avengers: Endgame,2019,https://boxd.it/9vE4,
35,Coco,2017,https://boxd.it/bYJQ,
36,Mad Max: Fury Road,2015,https://boxd.it/2DjO,
37,The Big Short,2015,https://boxd.it/ajZw,
38,A Star Is Born,2018,https://boxd.it/aXgc,
39,Silver Linings Playbook,2012,https://boxd.it/2TTo,
40,Paddington 2,2017,https://boxd.it/bCF8,
41,Mission: Impossible – Fallout,2018,https://boxd.it/bSVc,
42,True Grit,2010,https://boxd.it/Sog,
43,Hell or High Water,2016,https://boxd.it/bfGM,
44,Fast Five,2011,https://boxd.it/BgO,
45,The Invitation,2015,https://boxd.it/9OUU,
46,The Heat,2013,https://boxd.it/4p9a,
47,Top Gun: Maverick,2022,https://boxd.it/cjr4,
48,Drive My Car,2021,https://boxd.it/sv94,
49,The Taste of Things,2023,https://boxd.it/Arke,
