Date,Name,Year,Letterboxd URI
2022-11-27,Penguins of Madagascar,2014,https://boxd.it/89tc
2022-11-27,In the Heart of the Sea,2015,https://boxd.it/6avY
2022-11-27,Ticket to Paradise,2022,https://boxd.it/u8Cc
2022-11-27,October Sky,1999,https://boxd.it/1Q7u
2022-11-27,Unstoppable,2010,https://boxd.it/SVO
2022-11-27,Apollo 10½: A Space Age Childhood,2022,https://boxd.it/oKiM
2022-12-01,Dogs in Space,1986,https://boxd.it/1k6O
2022-12-01,The Majorettes,1986,https://boxd.it/30o8
2022-12-01,Sweet Liberty,1986,https://boxd.it/7NI
2022-12-01,L.A. Takedown,1989,https://boxd.it/1uKu
2022-12-01,The Rachel Papers,1989,https://boxd.it/Y8o
2023-04-11,Cabeza de Vaca,1991,https://boxd.it/Yxe
2023-10-26,Hunter × Hunter Pilot,1998,https://boxd.it/lsoc
2023-11-26,Venus in Furs,1994,https://boxd.it/54D6
2024-08-20,My Life as a Zucchini,2016,https://boxd.it/dL2y
